"ID","N","CHL","CAR","ANT","EWT","LMA","CBC","PROT","BROWN","alpha"
"2022_1001_1",1.29392874873494,55.6425840749043,9.52148825249666,0,0.0110460767999634,0.00162699279995947,0,0,0,40
"2022_1001_2",1.30711198028641,63.1146774175751,11.1147659483677,0,0.0126279907070328,0.00170258444965275,0,0,0,40
"2022_1001_3",1.30720044532096,41.7646036563744,8.60998188537804,0.250700614746518,0.0107768974434231,0.00137602260119581,0,0,0,40
"2022_2272_1",1.5392019766146,53.2044508636828,9.55694626666685,0,0.0102857920032546,0.00215941835231159,0,0,0,40
"2022_2272_2",1.35034472648583,68.8573810423498,11.0895244458554,5.3097421974273e-07,0.0120372416846248,0.00151517820421913,0,0,0,40
"2022_2272_3",1.54248548565657,43.8956423819096,7.15285400440795,0.793430364244561,0.0106757384318092,0.00213774812148175,0,0,0,40
"2022_1002_1",1.3245160656546,48.2598780633461,10.7988853252409,-5.55111512312578e-17,0.0117370553322271,0.0026113059399373,0,0,0,40
"2022_1002_2",1.45155579799151,50.6891300251124,9.51557512931149,0,0.0109726013533044,0.00384207690746552,0,0,0,40
"2022_1002_3",1.42878164172961,38.3282199841445,7.38828060006619,0.762402548614972,0.010549523216377,0.00336599991475764,0,0,0,40
"2022_2015_1",1.3875575404313,53.29078363567,9.77659499616213,-1.6940658945086e-21,0.0109984758897513,0.00327857460686959,0,0,0,40
"2022_2015_2",1.47386573753755,58.5889127534998,10.1782189104466,0,0.0121727547992827,0.0033798083057425,0,0,0,40
"2022_2015_3",1.38925338155066,54.735378773391,10.1810913277753,1.73472347597681e-18,0.0110917002303607,0.00317968945618864,0,0,0,40
"2022_1003_1",1.32189431650268,44.9861802103163,8.81358354352029,0.195471680568822,0.00979273272970402,0.00158782479239097,0,0,0,40
"2022_1003_2",1.35853015859346,47.3902073013416,9.54619670536105,-1.6940658945086e-21,0.0104351231428082,0.00178173672878587,0,0,0,40
"2022_1003_3",1.37115758906101,61.18640889559,10.1498873839274,0,0.0116593879801795,0.00190083075065037,0,0,0,40
