"ID","N","CHL","CAR","ANT","EWT","LMA","CBC","PROT","BROWN","alpha"
"2021_1001_1",1.17475727019501,33.5152741706629,8.81486681825424,0.109621142375562,0.010083420293433,0.00201462179904419,0,0,0,40
"2021_1001_2",1.30480652770515,61.8329106512029,12.1192818295705,0,0.0146438520169498,0.00303170979181531,0,0,0,40
"2021_1001_3",1.39390120544862,47.5827935960811,9.38189711935907,3.9676509974999e-08,0.0140022894369639,0.00279804582246083,0,0,0,40
"2021_2246_1",1.28760655711133,55.5534738296742,11.0048131917936,0,0.0126389909225034,0.0023051454151855,0,0,0,40
"2021_2246_2",1.30852672142771,64.2978138604595,10.1239800014948,0,0.0119723100464036,0.00263030553211015,0,0,0,40
"2021_2246_3",1.22539636521538,39.9508074816345,9.07486231158341,0,0.0096516378632032,0.00189016258665268,0,0,0,40
"2021_1002_1",1.30579794450242,48.5259550246232,11.3257793503937,0,0.0111231200577987,0.00188488501473171,0,0,0,40
"2021_1002_2",1.32801630160963,76.0903727677179,16.2619361534673,0,0.0123402680582194,0.00255311782975768,0,0,0,40
"2021_1002_3",1.3087985643661,55.7721919605008,11.3832604125289,0,0.00956222654833847,0.00223482683990378,0,0,0,40
"2021_2121_1",1.3435883981518,41.2678487670173,9.63736109091179,2.60208521396521e-18,0.0100253175682542,0.00157086597383294,0,0,0,40
"2021_2121_2",1.29804078755584,37.4289218223532,9.2425812501645,8.18908806427497e-22,0.00932031315053799,0.00182519934425404,0,0,0,40
"2021_2121_3",1.32367297924189,44.3340170714498,10.244694158505,0,0.00986044698160317,0.00198012071377107,0,0,0,40
"2021_1003_1",1.42640634615651,48.1458695758581,9.81354702434314,0,0.0129904615657954,0.00371288437506725,0,0,0,40
"2021_1003_2",1.32102134921676,50.911646930854,10.1080957045936,0,0.0114482468162907,0.00283279298861303,0,0,0,40
"2021_2267_1",1.3308408571732,61.6207419725078,10.9868564966474,0,0.0133609193375715,0.00346946506506788,0,0,0,40
"2021_2267_2",1.33798567405906,78.6043635655268,10.3403590739412,0,0.0125082776198059,0.00323666017800029,0,0,0,40
"2021_2267_3",1.36191820347152,56.8191168431989,9.52185785910144,0,0.0116568310952888,0.0029077916510432,0,0,0,40
"2021_1004_1",1.36295693057839,56.7800268810653,10.8190528031809,0,0.0120505098978944,0.0024914558258147,0,0,0,40
"2021_1004_2",1.43460127297804,43.2717209508209,9.02776789975815,0.517152670465722,0.0110928900963787,0.00206986684220478,0,0,0,40
"2021_1004_3",1.29461514159406,64.9624557095053,13.2971399172419,0,0.0109104841635332,0.00243223499055298,0,0,0,40
"2021_2216_1",1.22734128481723,35.0620066598055,7.63310831467917,0.494343687425786,0.00795568080278386,0.00122360189436623,0,0,0,40
"2021_2216_2",1.2350516455112,34.9990920992063,8.94730342936736,0.0387088322899645,0.0103379409997048,0.00188737100437846,0,0,0,40
"2021_2216_3",1.36471761518953,55.3391095347916,10.2832489093681,-4.16333634234434e-17,0.0126828921506112,0.00203418285168523,0,0,0,40
"2021_1005_1",1.1974450058307,61.7917316239463,12.2578536421427,0,0.0102235289231049,0.00186115771216184,0,0,0,40
"2021_1005_2",1.16606638635547,67.8617599469341,13.4704706376152,0,0.010802489853578,0.00219854441230988,0,0,0,40
"2021_1005_3",1.17019932889593,59.9347469957799,12.0149469586536,0,0.0103250864436586,0.00183923316638368,0,0,0,40
"2021_2050_1",1.19690446176734,38.1090943811762,9.78996494447927,0,0.0100454832845506,0.00162073479163681,0,0,0,40
"2021_2050_2",1.32626580533813,43.9269290860897,9.70280996486388,0,0.0109538188773155,0.00230270968903535,0,0,0,40
"2021_2050_3",1.23338920631514,32.1303828861318,8.19909203589194,0.18576211612919,0.0101766690068174,0.00180437429918662,0,0,0,40
"2021_1006_1",1.3410747879958,46.5239382294916,9.7956186043835,0.0243095787758666,0.0121917376743495,0.00219760197946743,0,0,0,40
"2021_1006_2",1.29705595790493,48.7372110000934,11.5198967609162,0,0.0110317252662285,0.00210839439061203,0,0,0,40
"2021_1006_3",1.39913722382725,61.8906249907428,11.3590309596808,0,0.0120273548836615,0.00265277200427516,0,0,0,40
"2021_2236_1",1.29744256279681,46.2835313593995,9.82649072763821,0,0.0099601812098237,0.00199886484987268,0,0,0,40
"2021_2236_2",1.27555420912171,34.9771169539299,7.92891298778289,0.662429408153514,0.00899352687292727,0.00207591039708367,0,0,0,40
"2021_2236_3",1.20433882492346,46.4682521552742,10.9596427954048,0,0.0112162402094128,0.00165733967948789,0,0,0,40
"2021_1007_1",1.29049357676555,46.9870909313294,8.60526535336504,2.06795153138257e-25,0.0122578414041234,0.00264717049639736,0,0,0,40
"2021_1007_2",1.36844767106585,63.9800432130652,10.7343778527539,0,0.0174252468545216,0.00292919788851356,0,0,0,40
"2021_1007_3",1.31415311089268,58.4550988182147,10.2382357583732,0,0.0133633071206477,0.00222818055623281,0,0,0,40
"2021_2063_1",1.40566624251369,75.0947345555178,10.1657495416476,0,0.0138409628763157,0.00291477944190721,0,0,0,40
"2021_2063_2",1.30637150307706,51.7953273745494,9.84122485317517,0,0.0122247256318449,0.00264706920431456,0,0,0,40
"2021_2063_3",1.31440378692069,54.2029166829534,9.31573800194042,0,0.0131636245417764,0.00261872778860974,0,0,0,40
"2021_1008_1",1.24130956035525,46.4755525176215,10.51790584495,0.0463576538548061,0.0109631833649786,0.00165023127293635,0,0,0,40
